iter	MultiClass
0	1.020162411
1	0.9540934926
2	0.8938552493
3	0.8406157729
4	0.7954292155
5	0.7583067222
6	0.7191980203
7	0.6844279537
8	0.6524227242
9	0.6228015943
10	0.5984411752
11	0.57301276
12	0.5517578827
13	0.5310908915
14	0.5123396668
15	0.4935281879
16	0.4755939046
17	0.4599118192
18	0.4459257005
19	0.4301529395
20	0.4177271369
21	0.4044407316
22	0.392128285
23	0.3815689136
24	0.3703837902
25	0.3602709949
26	0.3517972561
27	0.3431441947
28	0.3348875655
29	0.3271800045
30	0.3214756157
31	0.3132702225
32	0.3076865016
33	0.3008976414
34	0.2948793744
35	0.290006866
36	0.2839793951
37	0.2787061261
38	0.2734243761
39	0.268777502
40	0.2634516476
41	0.2590173207
42	0.254369502
43	0.250249481
44	0.2463421684
45	0.2407457629
46	0.236608006
47	0.2326346988
48	0.2298777202
49	0.2261260381
50	0.2213266777
51	0.2179127014
52	0.2141143451
53	0.2102574838
54	0.2083529027
55	0.2054328868
56	0.2021819679
57	0.1994124717
58	0.196274781
59	0.1933289493
60	0.1909023797
61	0.1877797179
62	0.1851662649
63	0.1832641341
64	0.1807029787
65	0.178930509
66	0.1769698118
67	0.1745410428
68	0.172195447
69	0.1698165207
70	0.1684639938
71	0.1668608442
72	0.1647820878
73	0.1621194209
74	0.1599152661
75	0.1577911824
76	0.1558573082
77	0.1542650711
78	0.1519339257
79	0.1507954317
80	0.149135165
81	0.147274135
82	0.1455648245
83	0.1439399747
84	0.1424628437
85	0.1410014798
86	0.1390430732
87	0.1375014489
88	0.1363775952
89	0.1349594679
90	0.1338404451
91	0.1326182501
92	0.1307900907
93	0.1298691866
94	0.1283227866
95	0.1274218818
96	0.1259574573
97	0.1242952257
98	0.1230102964
99	0.1219033393
100	0.1200966786
101	0.1190456333
102	0.1176783389
103	0.1168039692
104	0.1159759722
105	0.1148698456
106	0.1137547602
107	0.112608714
108	0.1116641138
109	0.1104702118
110	0.1095137695
111	0.1082600874
112	0.1074789775
113	0.1065014426
114	0.1053843108
115	0.1044912256
116	0.1031641469
